date,durable_goods_orders,mfg_new_orders_total,philly_fed_mfg,ny_fed_mfg
1968-05-01,,,32.2,
1968-06-01,,,18.4,
1968-07-01,,,33.3,
1968-08-01,,,-3.9,
1968-09-01,,,9.5,
1968-10-01,,,6.8,
1968-11-01,,,13.2,
1968-12-01,,,23.5,
1969-01-01,,,-11.3,
1969-02-01,,,16.8,
1969-03-01,,,27.8,
1969-04-01,,,18.1,
1969-05-01,,,12.7,
1969-06-01,,,18.5,
1969-07-01,,,-1.1,
1969-08-01,,,8.0,
1969-09-01,,,-1.6,
1969-10-01,,,12.1,
1969-11-01,,,-3.4,
1969-12-01,,,-7.9,
1970-01-01,,,-13.1,
1970-02-01,,,-18.1,
1970-03-01,,,-31.2,
1970-04-01,,,-16.9,
1970-05-01,,,-21.5,
1970-06-01,,,-8.4,
1970-07-01,,,7.0,
1970-08-01,,,6.9,
1970-09-01,,,14.0,
1970-10-01,,,3.7,
1970-11-01,,,6.4,
1970-12-01,,,10.2,
1971-01-01,,,28.9,
1971-02-01,,,39.0,
1971-03-01,,,33.3,
1971-04-01,,,37.4,
1971-05-01,,,39.2,
1971-06-01,,,31.3,
1971-07-01,,,25.5,
1971-08-01,,,22.8,
1971-09-01,,,35.9,
1971-10-01,,,39.3,
1971-11-01,,,32.1,
1971-12-01,,,30.4,
1972-01-01,,,34.2,
1972-02-01,,,30.9,
1972-03-01,,,39.5,
1972-04-01,,,28.2,
1972-05-01,,,35.8,
1972-06-01,,,34.1,
1972-07-01,,,33.1,
1972-08-01,,,35.2,
1972-09-01,,,32.9,
1972-10-01,,,39.2,
1972-11-01,,,47.2,
1972-12-01,,,49.1,
1973-01-01,,,47.8,
1973-02-01,,,40.5,
1973-03-01,,,58.5,
1973-04-01,,,53.6,
1973-05-01,,,36.6,
1973-06-01,,,30.4,
1973-07-01,,,24.8,
1973-08-01,,,18.5,
1973-09-01,,,-0.3,
1973-10-01,,,9.8,
1973-11-01,,,15.4,
1973-12-01,,,8.0,
1974-01-01,,,-12.9,
1974-02-01,,,-13.2,
1974-03-01,,,-12.5,
1974-04-01,,,-11.9,
1974-05-01,,,-9.2,
1974-06-01,,,-8.7,
1974-07-01,,,-8.4,
1974-08-01,,,-16.9,
1974-09-01,,,-7.4,
1974-10-01,,,-26.1,
1974-11-01,,,-31.8,
1974-12-01,,,-57.9,
1975-01-01,,,-44.7,
1975-02-01,,,-25.5,
1975-03-01,,,-28.4,
1975-04-01,,,-28.1,
1975-05-01,,,-18.3,
1975-06-01,,,-6.4,
1975-07-01,,,13.7,
1975-08-01,,,28.0,
1975-09-01,,,32.6,
1975-10-01,,,35.3,
1975-11-01,,,44.2,
1975-12-01,,,33.1,
1976-01-01,,,10.8,
1976-02-01,,,20.7,
1976-03-01,,,36.2,
1976-04-01,,,43.2,
1976-05-01,,,37.7,
1976-06-01,,,32.7,
1976-07-01,,,28.0,
1976-08-01,,,19.6,
1976-09-01,,,22.1,
1976-10-01,,,22.2,
1976-11-01,,,13.8,
1976-12-01,,,13.6,
1977-01-01,,,31.5,
1977-02-01,,,34.9,
1977-03-01,,,33.2,
1977-04-01,,,44.4,
1977-05-01,,,30.3,
1977-06-01,,,27.6,
1977-07-01,,,21.5,
1977-08-01,,,20.1,
1977-09-01,,,11.2,
1977-10-01,,,15.9,
1977-11-01,,,18.2,
1977-12-01,,,30.6,
1978-01-01,,,20.6,
1978-02-01,,,11.3,
1978-03-01,,,8.9,
1978-04-01,,,18.4,
1978-05-01,,,27.6,
1978-06-01,,,23.2,
1978-07-01,,,17.9,
1978-08-01,,,27.7,
1978-09-01,,,17.9,
1978-10-01,,,21.0,
1978-11-01,,,14.4,
1978-12-01,,,8.5,
1979-01-01,,,4.1,
1979-02-01,,,-1.5,
1979-03-01,,,5.8,
1979-04-01,,,-3.4,
1979-05-01,,,-1.6,
1979-06-01,,,-4.2,
1979-07-01,,,-13.2,
1979-08-01,,,-17.8,
1979-09-01,,,-24.4,
1979-10-01,,,-28.6,
1979-11-01,,,-20.1,
1979-12-01,,,-15.6,
1980-01-01,,,-18.4,
1980-02-01,,,-20.9,
1980-03-01,,,-19.5,
1980-04-01,,,-37.1,
1980-05-01,,,-53.4,
1980-06-01,,,-54.3,
1980-07-01,,,-57.1,
1980-08-01,,,-39.4,
1980-09-01,,,-10.3,
1980-10-01,,,24.7,
1980-11-01,,,9.0,
1980-12-01,,,7.4,
1981-01-01,,,2.1,
1981-02-01,,,5.2,
1981-03-01,,,8.0,
1981-04-01,,,-1.2,
1981-05-01,,,9.1,
1981-06-01,,,-2.1,
1981-07-01,,,5.5,
1981-08-01,,,16.8,
1981-09-01,,,7.5,
1981-10-01,,,-13.2,
1981-11-01,,,-25.7,
1981-12-01,,,-34.5,
1982-01-01,,,-19.9,
1982-02-01,,,-15.4,
1982-03-01,,,-15.7,
1982-04-01,,,-3.2,
1982-05-01,,,-4.6,
1982-06-01,,,2.2,
1982-07-01,,,2.8,
1982-08-01,,,-3.2,
1982-09-01,,,-13.6,
1982-10-01,,,10.9,
1982-11-01,,,2.3,
1982-12-01,,,14.7,
1983-01-01,,,12.5,
1983-02-01,,,20.2,
1983-03-01,,,32.6,
1983-04-01,,,37.2,
1983-05-01,,,37.6,
1983-06-01,,,42.3,
1983-07-01,,,49.5,
1983-08-01,,,41.5,
1983-09-01,,,40.7,
1983-10-01,,,35.4,
1983-11-01,,,45.1,
1983-12-01,,,41.0,
1984-01-01,,,47.0,
1984-02-01,,,25.8,
1984-03-01,,,35.0,
1984-04-01,,,36.9,
1984-05-01,,,31.7,
1984-06-01,,,27.7,
1984-07-01,,,1.4,
1984-08-01,,,23.7,
1984-09-01,,,22.3,
1984-10-01,,,15.4,
1984-11-01,,,2.7,
1984-12-01,,,2.1,
1985-01-01,,,5.5,
